NombreBeca,AnioBecariosConfirmados,Departamento,BecariosNuevos,BecariosContinuadores,TotalBecarios,Modalidad
Beca 18,2020,Amazonas,74,562,636,Beca 18
Beca 18,2020,Áncash,108,440,548,Beca 18
Beca 18,2020,Apurímac,126,737,863,Beca 18
Beca 18,2020,Arequipa,129,308,437,Beca 18
Beca 18,2020,Ayacucho,209,690,899,Beca 18
Beca 18,2020,Cajamarca,87,748,835,Beca 18
Beca 18,2020,Callao,245,463,708,Beca 18
Beca 18,2020,Cusco,189,904,1093,Beca 18
Beca 18,2020,Huancavelica,113,943,1056,Beca 18
Beca 18,2020,Huánuco,131,587,718,Beca 18
Beca 18,2020,Ica,112,220,332,Beca 18
Beca 18,2020,Junín,402,1250,1652,Beca 18
Beca 18,2020,La Libertad,124,374,498,Beca 18
Beca 18,2020,Lambayeque,158,504,662,Beca 18
Beca 18,2020,Lima,1793,3406,5199,Beca 18
Beca 18,2020,Loreto,87,869,956,Beca 18
Beca 18,2020,Madre de Dios,5,98,103,Beca 18
Beca 18,2020,Moquegua,10,63,73,Beca 18
Beca 18,2020,Pasco,43,337,380,Beca 18
Beca 18,2020,Piura,286,953,1239,Beca 18
Beca 18,2020,Puno,78,546,624,Beca 18
Beca 18,2020,San Martín,118,585,703,Beca 18
Beca 18,2020,Tacna,40,196,236,Beca 18
Beca 18,2020,Tumbes,27,91,118,Beca 18
Beca 18,2020,Ucayali,47,231,278,Beca 18
