NombreBeca,Institucion,AnioBecariosConfirmados,Departamento,Carrera,Modalidad,BecariosNuevos,BecariosContinuadores,TotalBecarios
Beca 18,,2020,Amazonas,,Beca 18,74,562,636
Beca 18,,2020,Áncash,,Beca 18,108,440,548
Beca 18,,2020,Apurímac,,Beca 18,126,737,863
Beca 18,,2020,Arequipa,,Beca 18,129,308,437
Beca 18,,2020,Ayacucho,,Beca 18,209,690,899
Beca 18,,2020,Cajamarca,,Beca 18,87,748,835
Beca 18,,2020,Callao,,Beca 18,245,463,708
Beca 18,,2020,Cusco,,Beca 18,189,904,1093
Beca 18,,2020,Huancavelica,,Beca 18,113,943,1056
Beca 18,,2020,Huánuco,,Beca 18,131,587,718
Beca 18,,2020,Ica,,Beca 18,112,220,332
Beca 18,,2020,Junín,,Beca 18,402,1250,1652
Beca 18,,2020,La Libertad,,Beca 18,124,374,498
Beca 18,,2020,Lambayeque,,Beca 18,158,504,662
Beca 18,,2020,Lima,,Beca 18,1793,3406,5199
Beca 18,,2020,Loreto,,Beca 18,87,869,956
Beca 18,,2020,Madre de Dios,,Beca 18,5,98,103
Beca 18,,2020,Moquegua,,Beca 18,10,63,73
Beca 18,,2020,Pasco,,Beca 18,43,337,380
Beca 18,,2020,Piura,,Beca 18,286,953,1239
Beca 18,,2020,Puno,,Beca 18,78,546,624
Beca 18,,2020,San Martín,,Beca 18,118,585,703
Beca 18,,2020,Tacna,,Beca 18,40,196,236
Beca 18,,2020,Tumbes,,Beca 18,27,91,118
Beca 18,,2020,Ucayali,,Beca 18,47,231,278
