NombreBeca,Institucion,AnioBecariosConfirmados,Departamento,Carrera,Modalidad,EstratoSocioeconomico,Migracion,CantidadBecarios,PorcentajeRegional
Beca 18,Varias,2021,Amazonas,Varias,General,No especificado,No especificado,457,2.45
Beca 18,Varias,2021,Áncash,Varias,General,No especificado,No especificado,435,2.33
Beca 18,Varias,2021,Apurímac,Varias,General,No especificado,No especificado,764,4.09
Beca 18,Varias,2021,Arequipa,Varias,General,No especificado,No especificado,411,2.2
Beca 18,Varias,2021,Ayacucho,Varias,General,No especificado,No especificado,921,4.93
Beca 18,Varias,2021,Cajamarca,Varias,General,No especificado,No especificado,615,3.29
Beca 18,Varias,2021,Callao,Varias,General,No especificado,No especificado,661,3.54
Beca 18,Varias,2021,Cusco,Varias,General,No especificado,No especificado,1042,5.58
Beca 18,Varias,2021,Huancavelica,Varias,General,No especificado,No especificado,692,3.7
Beca 18,Varias,2021,Huánuco,Varias,General,No especificado,No especificado,737,3.94
Beca 18,Varias,2021,Ica,Varias,General,No especificado,No especificado,302,1.62
Beca 18,Varias,2021,Junín,Varias,General,No especificado,No especificado,1463,7.83
Beca 18,Varias,2021,La Libertad,Varias,General,No especificado,No especificado,404,2.16
Beca 18,Varias,2021,Lambayeque,Varias,General,No especificado,No especificado,488,2.61
Beca 18,Varias,2021,Lima,Varias,General,No especificado,No especificado,5417,28.98
Beca 18,Varias,2021,Loreto,Varias,General,No especificado,No especificado,811,4.34
Beca 18,Varias,2021,Madre de Dios,Varias,General,No especificado,No especificado,77,0.41
Beca 18,Varias,2021,Moquegua,Varias,General,No especificado,No especificado,50,0.27
Beca 18,Varias,2021,Pasco,Varias,General,No especificado,No especificado,287,1.54
Beca 18,Varias,2021,Piura,Varias,General,No especificado,No especificado,1060,5.67
Beca 18,Varias,2021,Puno,Varias,General,No especificado,No especificado,680,3.64
Beca 18,Varias,2021,San Martín,Varias,General,No especificado,No especificado,507,2.71
Beca 18,Varias,2021,Tacna,Varias,General,No especificado,No especificado,133,0.71
Beca 18,Varias,2021,Tumbes,Varias,General,No especificado,No especificado,87,0.47
Beca 18,Varias,2021,Ucayali,Varias,General,No especificado,No especificado,189,1.01
Beca 18,Varias,2021,Total,Varias,General,No especificado,No especificado,18690,100
